provinsi;tanaman;tagun;luaspanen;jumlahpanen;hargajual;jumlahkebutuhan;julahpermintaan
Sumatera Barat;Kencur;2019;344080,00;801.357;10500;344.080;172.040
Sumatera Selatan;Kencur;2015;243533,00;357.660;14800;243.533;121.767
Sumatera Selatan;Kencur;2016;281547,00;411.260;13000;281.547;140.774
Sumatera Selatan;Kencur;2017;140535,00;189.029;13900;140.535;70.268
Sumatera Selatan;Kencur;2018;205297,00;351.251;12500;205.297;102.649
Sumatera Selatan;Kencur;2019;413460,00;604.691;12300;413.460;206.730
Sumatera Utara;Kencur;2015;174112,00;367.775;14200;174.112;87.056
Sumatera Utara;Kencur;2016;146509,00;315.861;13500;146.509;73.255
Sumatera Utara;Kencur;2017;98542,00;212.238;14600;98.542;49.271
Sumatera Utara;Kencur;2018;99386,00;167.455;13400;99.386;49.693
Sumatera Utara;Kencur;2019;68774,00;106.589;11600;68.774;34.387
